,date,diff
0,2017-01-01,0.0027591586112976074
1,2017-01-02,0.006204485893249512
2,2017-01-03,0.005467712879180908
3,2017-01-04,-0.0005680322647094727
4,2017-01-05,0.0015458464622497559
5,2017-01-06,0.002061307430267334
6,2017-01-07,0.004342913627624512
7,2017-01-08,0.006124556064605713
8,2017-01-09,0.004150271415710449
9,2017-01-10,0.003796815872192383
10,2017-01-11,0.0012838244438171387
11,2017-01-12,-0.001774609088897705
12,2017-01-13,-0.006298243999481201
13,2017-01-14,0.0018978714942932129
14,2017-01-15,0.0038650035858154297
15,2017-01-16,0.0022002458572387695
16,2017-01-17,0.0002700686454772949
17,2017-01-18,0.007611632347106934
18,2017-01-19,-0.00616830587387085
19,2017-01-20,-0.0005788803100585938
20,2017-01-21,0.0003719925880432129
21,2017-01-22,0.0013660788536071777
22,2017-01-23,-0.001244664192199707
23,2017-01-24,0.002957582473754883
24,2017-01-25,-0.00015592575073242188
25,2017-01-26,-2.7000904083251953e-05
26,2017-01-27,0.0034961700439453125
27,2017-01-28,-0.00022041797637939453
28,2017-01-29,0.0020883679389953613
29,2017-01-30,0.004223346710205078
30,2017-01-31,0.004711806774139404
31,2017-02-01,0.0015920400619506836
32,2017-02-02,0.0001240372657775879
33,2017-02-03,0.003074824810028076
34,2017-02-04,-0.0010569095611572266
35,2017-02-05,0.0044876933097839355
36,2017-02-06,-0.00048238039016723633
37,2017-02-07,-0.00521540641784668
38,2017-02-08,-0.0006666779518127441
39,2017-02-09,0.004097640514373779
40,2017-02-10,-0.005442559719085693
41,2017-02-11,0.0044983625411987305
42,2017-02-12,0.0017919540405273438
43,2017-02-13,0.0021402835845947266
44,2017-02-14,0.002697765827178955
45,2017-02-15,0.0030094385147094727
46,2017-02-16,-0.0026550889015197754
47,2017-02-17,-6.222724914550781e-05
48,2017-02-18,-0.002227485179901123
49,2017-02-19,-0.0022094249725341797
50,2017-02-20,-0.002199709415435791
51,2017-02-21,0.0018738508224487305
52,2017-02-22,0.0050331950187683105
53,2017-02-23,-0.004162251949310303
54,2017-02-24,-0.0026473402976989746
55,2017-02-25,-0.0007426738739013672
56,2017-02-26,0.00194549560546875
57,2017-02-27,-0.0009601116180419922
58,2017-02-28,0.003659367561340332
59,2017-03-01,-0.004551947116851807
60,2017-03-02,-0.0016205906867980957
61,2017-03-03,-0.0005267858505249023
62,2017-03-04,-0.000632166862487793
63,2017-03-05,-9.691715240478516e-05
64,2017-03-06,0.0009782910346984863
65,2017-03-07,0.00046497583389282227
66,2017-03-08,0.0006287097930908203
67,2017-03-09,-3.3736228942871094e-05
68,2017-03-10,-2.09808349609375e-05
69,2017-03-11,-0.0010588765144348145
70,2017-03-12,0.000975489616394043
71,2017-03-13,0.004016399383544922
72,2017-03-14,0.0038983821868896484
73,2017-03-15,0.004297852516174316
74,2017-03-16,0.0008138418197631836
75,2017-03-17,0.0009660124778747559
76,2017-03-18,-0.001959562301635742
77,2017-03-19,-0.0030077695846557617
78,2017-03-20,0.001741170883178711
79,2017-03-21,1.8358230590820312e-05
80,2017-03-22,-0.002124607563018799
81,2017-03-23,0.003934204578399658
82,2017-03-24,-0.002928435802459717
83,2017-03-25,-0.0013295412063598633
84,2017-03-26,0.002210259437561035
85,2017-03-27,0.0028180480003356934
86,2017-03-28,-0.0005619525909423828
87,2017-03-29,0.002733886241912842
88,2017-03-30,0.004458129405975342
89,2017-03-31,0.002885282039642334
90,2017-04-01,0.0020242929458618164
91,2017-04-02,0.003522634506225586
92,2017-04-03,-0.0007961392402648926
93,2017-04-04,0.0011066198348999023
94,2017-04-05,0.0009208321571350098
95,2017-04-06,0.002828359603881836
96,2017-04-07,0.0038706064224243164
97,2017-04-08,-0.00010645389556884766
98,2017-04-09,0.0008158683776855469
99,2017-04-10,-0.0006088614463806152
100,2017-04-11,0.00022858381271362305
101,2017-04-12,0.008785486221313477
102,2017-04-13,0.004157721996307373
103,2017-04-14,-0.0007166862487792969
104,2017-04-15,0.00019985437393188477
105,2017-04-16,1.3828277587890625e-05
106,2017-04-17,0.004024803638458252
107,2017-04-18,-0.002282083034515381
108,2017-04-19,0.0026836395263671875
109,2017-04-20,0.0044741034507751465
110,2017-04-21,0.004093825817108154
111,2017-04-22,0.0012961030006408691
112,2017-04-23,0.004995584487915039
113,2017-04-24,0.0022879838943481445
114,2017-04-25,0.004397869110107422
115,2017-04-26,0.0020651817321777344
116,2017-04-27,0.0019859671592712402
117,2017-04-28,0.0032410621643066406
118,2017-04-29,0.0005532503128051758
119,2017-04-30,0.002673923969268799
120,2017-05-01,0.0007708072662353516
121,2017-05-02,0.001354992389678955
122,2017-05-03,0.004345595836639404
123,2017-05-04,0.003104090690612793
124,2017-05-05,-0.0014955401420593262
125,2017-05-06,-0.0008317232131958008
126,2017-05-07,0.0006738901138305664
127,2017-05-08,-0.002924323081970215
128,2017-05-09,0.00574725866317749
129,2017-05-10,0.0027811527252197266
130,2017-05-11,0.006879031658172607
131,2017-05-12,0.00451892614364624
132,2017-05-13,-0.0009126067161560059
133,2017-05-14,0.0019608736038208008
134,2017-05-15,0.0014566779136657715
135,2017-05-16,-0.002397000789642334
136,2017-05-17,0.003873169422149658
137,2017-05-18,-0.0009392499923706055
138,2017-05-19,0.0029255151748657227
139,2017-05-20,-0.0006771087646484375
140,2017-05-21,0.00017201900482177734
141,2017-05-22,0.001532435417175293
142,2017-05-23,0.0021126866340637207
143,2017-05-24,0.002946794033050537
144,2017-05-25,-0.00182342529296875
145,2017-05-26,0.0005570650100708008
146,2017-05-27,0.00446927547454834
