일자,MACD,SIGNAL,OSC
202008040905,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040910,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040915,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040920,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040925,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040930,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040935,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040940,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040945,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040950,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040955,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041000,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041005,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041010,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041015,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041020,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041025,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041030,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041035,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041040,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041045,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041050,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041055,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041100,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041105,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041110,-1658.244374614209,1.7976931348623157e+308,1.7976931348623157e+308
202008041115,-1272.8699738363503,1.7976931348623157e+308,1.7976931348623157e+308
202008041120,-1115.9769820719957,1.7976931348623157e+308,1.7976931348623157e+308
202008041125,-980.337436022237,1.7976931348623157e+308,1.7976931348623157e+308
202008041130,-862.8951998177217,1.7976931348623157e+308,1.7976931348623157e+308
202008041135,-840.820568035706,1.7976931348623157e+308,1.7976931348623157e+308
202008041140,-813.9436278298963,1.7976931348623157e+308,1.7976931348623157e+308
202008041145,-943.1546447305009,1.7976931348623157e+308,1.7976931348623157e+308
202008041150,-953.8680665787542,-1057.0035467398834,103.13548016112918
202008041155,-951.3914817979094,-1035.8811337514885,84.48965195357914
202008041200,-938.6090694278246,-1016.4267208867557,77.8176514589311
202008041205,-917.8979592298856,-996.7209685553817,78.82300932549606
202008041210,-891.2109303371981,-975.6189609117449,84.40803057454684
202008041215,-700.6018800042802,-920.6155447302519,220.0136647259717
202008041220,-623.0523177206051,-861.1028993283226,238.0505816077175
202008041225,-555.1938023390248,-799.9210799304631,244.72727759143822
202008041230,-575.4733837086242,-755.0315406860952,179.55815697747107
202008041235,-584.8038433719194,-720.98600122326,136.18215785134066
202008041240,-665.2216810754035,-709.8331371936887,44.61145611828522
202008041245,-720.6462356171105,-711.9957568783731,-8.650478738737434
202008041250,-915.4016987411305,-752.6769452509245,-162.724753490206
202008041255,-977.7838798355078,-797.6983321678412,-180.08554766766667
202008041300,-1095.2880515779834,-857.2162760498696,-238.0717755281138
202008041305,-1095.0957297058776,-904.7921667810713,-190.30356292480633
202008041310,-1082.465326761012,-940.3267987770594,-142.1385279839526
202008041315,-1299.550164034823,-1012.1714718286121,-287.37869220621087
202008041320,-1375.0491087475093,-1084.7469992123915,-290.3021095351178
202008041325,-1418.5306282944512,-1151.5037250288035,-267.02690326564766
202008041330,-1516.2038344546454,-1224.4437469139718,-291.76008754067357
202008041335,-1495.6776702274801,-1278.6905315766735,-216.98713865080663
202008041340,-1382.7790780810174,-1299.5082408775422,-83.27083720347514
202008041345,-1358.33967878588,-1311.2745284592097,-47.06515032667039
202008041350,-1323.712346816319,-1313.7620921306316,-9.950254685687469
202008041355,-1281.4976297824178,-1307.3091996609887,25.811569878570936
202008041400,-1233.81945968722,-1292.611251666235,58.79179197901499
202008041405,-1102.632067621802,-1254.6154148573482,151.98334723554626
202008041410,-1067.0563950050855,-1217.1036108868957,150.0472158818102
202008041415,-1106.7956099634757,-1195.0420107022117,88.24640073873593
202008041420,-1125.3172671535285,-1181.0970619924751,55.7797948389466
202008041425,-1047.2323288590414,-1154.3241153657884,107.09178650674698
202008041430,-974.1203990972135,-1118.2833721120735,144.16297301485997
202008041435,-985.5099652484059,-1091.72869073934,106.21872549093405
202008041440,-903.4304519452853,-1054.069042980529,150.63859103524373
202008041445,-908.5997169991024,-1024.9751777842437,116.37546078514129
202008041450,-822.5232184856432,-984.4847859245235,161.96156743888037
202008041455,-825.4829621746903,-952.6844211745569,127.20145899986653
202008041500,-898.1667162082158,-941.7808801812887,43.61416397307289
202008041505,-865.1050794401672,-926.4457200330644,61.340640592897216
202008041510,-829.3433403263334,-907.0252440917182,77.68190376538473
202008041515,-791.8736775980797,-883.9949307929904,92.12125319491076
202008041520,-593.9487432371825,-825.9856932818288,232.03695004464635
202008041530,-272.56654402869754,-715.3018634312026,442.73531940250507
202008050905,381.1951965937624,-496.00245142620963,877.197648019972
